OCID,CONTRACT_TITLE,CONTRACT_TYPE,PROCUREMENT_METHOD,BUYER_NAME,SUPPLIER_NAMES,CONTRACT_START_DATE,CONTRACT_END_DATE,CONTRACT_AMOUNT,CONTRACT_CURRENCY
1,CONTRATO DE COMPRAVENTA POR ANTICIPADO POR EL SUMINISTRO DE AZ1222 EN MÉXICO,Adquisiciones,ADJUDICACION DIRECTA,SECRETARIA DE SALUD,AstraZeneca UK Limited,12/10/2020,,77400000,DOSIS
2,"ACUERDO DE COMPRA DE VACUNAS ENTRE LA SECRETARIA DE SALUD DEL GOBIERNO DE MEXICO, SERUM INSTITUTE OF INDIA PRIVATE LIMITED Y SERUM LIFE SCIENCES LIMITED PARA LA COMPRA DE Chad0x1 nCov-19 Corona Virus Vaccine (Recombinant) COVISHIELD, comunmente conocida como VACUNA OXFORD/ASTRAZENECA",Adquisiciones,ADJUDICACION DIRECTA,SECRETARIA DE SALUD,Serum Institute of India,09/02/2021,,2030000,DOSIS
3,CONVENIO DE FABRICACIÓN Y SUMINISTRO ENTRE PFIZER EXPORT B.V. Y SECRETARIA DE SALUD,Adquisiciones,ADJUDICACION DIRECTA,SECRETARIA DE SALUD,Pfizer Export B.V.,30/11/2020,,34400000,DOSIS
4,CONVENIO DE FABRICACIÓN Y SUMINISTRO ENTRE PFIZER EXPORT B.V. Y SECRETARIA DE SALUD,Adquisiciones,ADJUDICACION DIRECTA,SECRETARIA DE SALUD,Pfizer Export B.V.,10/05/2022,,8000000,DOSIS
5,ACUERDO DE SUMINISTRO ENTRE CANSINO BIOLOGICS INC. Y EL GOBIERNO DE MÉXICO,Adquisiciones,ADJUDICACION DIRECTA,SECRETARIA DE SALUD,CanSino Biologics Inc.,08/11/2020,,35000000,DOSIS
6,"CONTRATO DE SUMINISTRO ENTRE LIMITED LIABILITY COMPANY ""HUMAN VACCINE""",Adquisiciones,ADJUDICACION DIRECTA,SECRETARIA DE SALUD,Limited Liability Company Human Vaccine,03/02/2021,,24000000,DOSIS
7,ACUERDO DE COMPRA Y SUMINISTRO ENTRE SINOVAC LIFE SCIENCE CO. LTD Y GOBIERNO DE MÉXICO,Adquisiciones,ADJUDICACION DIRECTA,SECRETARIA DE SALUD,Sinovac Life Science Co. LTD,04/02/2021,,20000000,DOSIS
8,"CONTRATO PARA LA ADQUISICIÓN, DISTRIBUCIÓN Y SUMINISTRO DE LA VACUNA ABDALÁ ENTRE EL CENTRO DE INGENIERÍA GENÉTICA Y BIOTECNOLOGÍA (CIGB) Y NEURONIC MEXICANA SA DE CV Y SECRETARIA DE SALUD DE MÉXICO",Adquisiciones,ADJUDICACION DIRECTA,SECRETARIA DE SALUD,Centro de Ingenieria Genetica y Biotecnología,21/07/2022,,9000000,DOSIS
9,ACUERDO OPCIONAL DE COMPRA ENTRE GAVI ALLIANCE (COVAX) Y EL GOBIERNO DE MÉXICO,Adquisiciones,ADJUDICACION DIRECTA,SECRETARIA DE SALUD,Gavi Alliance,18/09/2021,,51100000,DOSIS
10,CONVENIO DE DONACION DE VACUNA ASTRAZENECA CON EL GOBIERNO DE ESTADOS UNIDOS,Adquisiciones,DONACION,SECRETARIA DE RELACIONES EXTERIORES,AstraZeneca PLC,09/03/2022,,9386800,DOSIS
11,CONVENIO DE DONACION DE VACUNA JANSSEN J&J CON EL GOBIERNO DE ESTADOS UNIDOS,Adquisiciones,DONACION,SECRETARIA DE RELACIONES EXTERIORES,Janssen Pharmaceutica,15/06/2021,,1350000,DOSIS
12,CONVENIO DE DONACION DE VACUNA MODERNA CON EL GOBIERNO DE ESTADOS UNIDOS,Adquisiciones,DONACION,SECRETARIA DE RELACIONES EXTERIORES,Moderna,21/09/2021,,3500000,DOSIS
13,CONVENIO DE DONACION DE VACUNA CON EL GOBIERNO DE COREA DEL SUR,Adquisiciones,DONACION,SECRETARIA DE RELACIONES EXTERIORES,Pfizer Export B.V.,10/08/2022,,800000,DOSIS
14,CONVENIO DE DONACION DE VACUNA CON EL GOBIERNO DE CANADÁ,Adquisiciones,DONACION,SECRETARIA DE RELACIONES EXTERIORES,Pfizer Export B.V.,27/07/2022,,3004000,DOSIS
15,CONVENIO DE DONACION DE VACUNA MODERNA CON LA FARMACÉUTICA MODERNA,Adquisiciones,DONACION,SECRETARIA DE RELACIONES EXTERIORES,Moderna,08/01/2022,,2772000,DOSIS
